"","p-value","R-squared","p.valor_beta0","p.valor_B73_PvsB73_noP","p.valor_MICH_noPvsB73_noP","p.valor_MICH_PvsB73_noP","p.valor_Time","p.valor_TimexB73_P","p.valor_TimexMICH_noP","p.valor_TimexMICH_P","p.valor_Time2","p.valor_Time2xB73_P","p.valor_Time2xMICH_noP","p.valor_Time2xMICH_P","p.valor_Time3","p.valor_Time3xB73_P","p.valor_Time3xMICH_noP","p.valor_Time3xMICH_P"
"Zm00001eb007180",4.05925335222307e-12,0.839446187908501,NA,0.420511520962344,0.640114649538251,0.360737013472571,5.59442801160517e-07,2.9286558227184e-05,NA,2.05925174245892e-05,NA,NA,0.0354638189292801,NA,NA,NA,NA,NA
"Zm00001eb007720",1.17098035993502e-09,0.642375321366678,NA,NA,0.00311588550651733,1.8094032208382e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb007840",2.80416651999338e-08,0.618458393458393,NA,NA,NA,NA,NA,0.00430877560274056,NA,NA,NA,NA,0.00319300034779959,NA,NA,NA,0.000126087969778568,NA
"Zm00001eb008070",1.01467856076134e-07,0.625468385961294,NA,NA,NA,NA,6.84852205070055e-09,NA,NA,NA,NA,6.7158036736889e-07,0.00101334955759941,1.89959582107724e-07,NA,NA,NA,NA
"Zm00001eb008200",2.00435550186735e-07,0.611376710341352,NA,NA,NA,NA,NA,NA,NA,NA,1.30411846667217e-08,9.12300524541149e-06,NA,8.60522458774053e-07,NA,NA,0.00476925683543668,NA
"Zm00001eb008290",5.02949918199445e-08,0.639437898718902,0.00535079867675049,NA,NA,NA,3.64656891452769e-09,NA,NA,NA,NA,6.2729992658224e-07,0.00199454620534784,1.93452638539408e-07,NA,NA,NA,NA
"Zm00001eb008910",6.8022452122633e-09,0.676360220331218,3.18975879549627e-24,NA,NA,7.11365398382231e-08,NA,NA,NA,NA,NA,8.04627855707069e-05,0.0275212645192736,NA,2.22779824221897e-08,NA,NA,NA
"Zm00001eb008970",1.58203228403267e-08,0.661286679481408,0.0311098922226124,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26676514665409e-05,1.13921935465878e-08,4.93856582375509e-10,2.82914888956308e-07,NA,NA
"Zm00001eb009430",3.3244274508644e-11,0.756755816398304,0.0198195935056792,NA,NA,NA,NA,NA,NA,NA,2.77658096149102e-12,2.06255653114096e-10,1.70405815987732e-05,2.18418953459159e-10,NA,NA,NA,NA
"Zm00001eb009840",4.01122354806499e-09,0.685437724345467,NA,NA,NA,NA,NA,NA,NA,NA,1.03727022929186e-10,3.25428128053135e-07,6.86402924029561e-07,3.8521639890957e-09,NA,NA,NA,NA
"Zm00001eb010130",6.7100863479159e-10,0.762269949903575,0.000531181166057028,0.0113204990035138,0.000256459484551509,0.0108508297752263,NA,NA,NA,NA,2.12741318734136e-06,0.00108102612616851,NA,0.00100659694735246,NA,NA,NA,NA
"Zm00001eb010140",1.38047255573817e-13,0.818443625682212,NA,NA,NA,NA,7.78367511597685e-13,6.68271539977494e-12,0.00126398413022984,5.95974376814049e-12,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb010410",6.20866107005559e-09,0.67794868674909,7.69372932125981e-15,NA,NA,NA,NA,NA,0.017846633313177,NA,4.24883042840278e-10,2.9851927656171e-07,NA,NA,NA,NA,NA,1.48731081220658e-07
"Zm00001eb010840",6.70528538792952e-08,0.60073900005616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00736513474944273,NA,NA,0.00340757203888948,0.000372044390321657,NA
"Zm00001eb011140",3.08937044390963e-09,0.689828216999924,0.047671452685088,NA,NA,NA,3.66457878410189e-10,NA,8.19111698013645e-05,NA,NA,5.87526206876246e-09,NA,5.93197265218809e-09,NA,NA,NA,NA
"Zm00001eb011240",6.07709470596565e-09,0.678320133566872,NA,NA,NA,NA,4.12925084575344e-10,NA,NA,NA,NA,0.000100534195549729,0.0016594009093596,9.19719694132315e-08,NA,NA,NA,NA
"Zm00001eb011250",4.46212565917935e-08,0.641765520167006,NA,NA,NA,NA,1.75482811867431e-09,3.95799320897396e-06,0.0112114981885789,NA,NA,NA,NA,4.04894068092779e-06,NA,NA,NA,NA
"Zm00001eb011330",2.88919371123873e-10,0.666543772118138,0.0473488075873324,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94426139588855e-05,NA,NA,NA,1.54247794824499e-06,NA
"Zm00001eb011440",1.71833955453031e-08,0.659772071826515,NA,NA,NA,NA,NA,NA,0.00015209042615486,NA,3.23788196896328e-10,9.72726788822924e-08,NA,NA,NA,NA,NA,8.94632521979859e-07
"Zm00001eb011560",8.52902492166145e-10,0.647998131208312,NA,NA,NA,NA,1.49921516532993e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00154249746740297,NA
"Zm00001eb011610",5.30496465756607e-08,0.638395899911408,NA,NA,NA,NA,1.37765227938467e-09,NA,NA,NA,NA,8.51910595594681e-06,NA,2.59508787753769e-06,NA,NA,0.00145795018084723,NA
"Zm00001eb011750",2.1607620995449e-09,0.695736845897999,0.0336228246501573,NA,NA,NA,NA,NA,NA,NA,9.00091501289062e-11,5.76305023375759e-09,3.35808814657861e-06,3.14662563879569e-09,NA,NA,NA,NA
"Zm00001eb012380",2.56689760529196e-07,0.606119082366535,1.98059241301611e-05,NA,NA,NA,2.43642368108184e-08,NA,0.000699724767442566,NA,NA,7.15563976754249e-07,NA,1.65061837112546e-07,NA,NA,NA,NA
"Zm00001eb013100",2.26231069409385e-08,0.654681075218834,NA,NA,NA,NA,3.62619802686903e-10,NA,NA,NA,NA,1.85150726999953e-06,4.2032417913736e-05,2.36888641188333e-07,NA,NA,NA,NA
"Zm00001eb013150",4.01339241591701e-09,0.685428569497229,NA,NA,NA,NA,NA,NA,NA,NA,1.88515805398644e-10,8.05910495578947e-09,8.46958267824065e-06,6.49896742467653e-09,NA,NA,NA,NA
"Zm00001eb013450",6.44879004052809e-08,0.601549503426057,1.98867670086428e-13,NA,0.000165192957185847,NA,0.0076169385665629,NA,NA,8.41397779707924e-09,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb013800",1.22459702333246e-10,0.712216573420225,NA,NA,NA,1.00442792206508e-08,NA,NA,0.000157161049960093,0.00292387411022109,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb015960",8.00880936345714e-08,0.659771851614139,6.41505092431405e-12,0.983815934183718,NA,NA,NA,0.000905580809989536,0.00252306897189283,1.69228451914577e-08,2.68598290696257e-06,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb016250",7.08456198970897e-08,0.71331513192567,NA,0.242332240723232,0.419647458763233,0.0295320897135141,9.88522072605982e-06,0.000500188148879773,0.0349395420568553,3.8248382436295e-05,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb017010",3.37991940145413e-09,0.6581965065514,2.22388556478592e-11,0.0085343636776237,6.80569177332564e-05,0.00519284821131986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb017070",1.93806032094717e-07,0.612085859193127,0.0438486167940304,NA,NA,NA,2.82367754291024e-08,4.9918528058524e-05,NA,NA,NA,NA,NA,1.79329132602156e-06,NA,NA,0.0385056785047917,NA
"Zm00001eb017580",4.90719901868231e-07,0.623141567703814,0.00184306418507877,9.92573550722512e-05,0.786135495558345,0.00841301129922136,NA,NA,NA,NA,0.00261685108685341,0.0136473823591433,NA,NA,NA,NA,NA,NA
"Zm00001eb018440",1.7723967813639e-07,0.613963199414307,0.0352773045605256,NA,NA,NA,NA,NA,NA,NA,NA,1.66153162113579e-07,2.44230437857644e-05,3.0214375151521e-07,6.84443668397523e-09,NA,NA,NA
"Zm00001eb018900",2.68082820344184e-09,0.692186516221937,0.000385133500639185,NA,NA,NA,1.14947241600773e-10,NA,NA,NA,NA,5.02295437735482e-07,0.0011993701540422,8.16790879032097e-08,NA,NA,NA,NA
"Zm00001eb019050",3.12249412086671e-07,0.601901692105311,NA,NA,NA,NA,NA,NA,NA,NA,7.95754701544094e-09,2.29606295648846e-06,NA,5.5683097688419e-07,NA,NA,0.000134451714656908,NA
"Zm00001eb019530",1.62115166889537e-08,0.660839769663057,0.0444659092672487,NA,NA,NA,3.47195209386535e-10,NA,0.00229305669970279,NA,NA,4.28283824450369e-06,NA,NA,NA,NA,NA,3.15311836803578e-07
"Zm00001eb019570",5.966033746715e-09,0.705826313422939,NA,NA,NA,NA,0.80526710958307,NA,NA,NA,0.0377184306526812,3.62179342456189e-09,2.54321641602832e-05,3.51927840236014e-09,NA,NA,NA,NA
"Zm00001eb019580",6.52586475169981e-09,0.677082832844569,0.000242169069151621,NA,NA,NA,8.1190390505716e-10,NA,NA,NA,NA,1.86314677596659e-08,0.000292803505991506,1.55250552934973e-08,NA,NA,NA,NA
"Zm00001eb019640",2.1950694153653e-07,0.609453568127379,NA,NA,NA,NA,NA,NA,NA,NA,8.45182245167901e-09,NA,NA,NA,NA,4.66530940840374e-07,0.000394485759558339,4.05744843425665e-07
"Zm00001eb019840",1.06311041626807e-09,0.707118240743005,0.00240753873608504,NA,NA,NA,NA,NA,NA,NA,4.05595182764261e-11,1.01872698949087e-08,1.06386458931087e-05,2.08322256880563e-09,NA,NA,NA,NA
"Zm00001eb019880",1.78095871336158e-12,0.791948161723405,0.000752482106868979,NA,NA,NA,2.11084902785046e-13,NA,NA,NA,NA,1.22254627858062e-11,1.6452640691609e-07,2.13043846170785e-12,NA,NA,NA,NA
"Zm00001eb019920",2.82263653856932e-07,0.604080727978996,9.94903917254957e-16,NA,0.00347899386763451,7.09380778399174e-08,NA,NA,NA,NA,7.82144280475207e-05,NA,NA,NA,NA,0.00972875161709338,NA,NA
"Zm00001eb020060",2.10903347809056e-07,0.61030080630276,3.90131086539523e-24,NA,NA,9.35764959474251e-07,NA,NA,0.00178481283455036,NA,1.70485446391798e-07,NA,NA,NA,NA,0.000660382366464602,NA,NA
"Zm00001eb020710",1.06347917476357e-08,0.668468142905171,NA,NA,NA,NA,1.95625221264479e-09,8.41563465279638e-08,NA,NA,NA,NA,0.00063198542367755,2.26311114480674e-08,NA,NA,NA,NA
"Zm00001eb021720",1.2054486336748e-09,0.70513432963154,0.00250756600466504,NA,NA,NA,8.10264557678272e-11,NA,NA,NA,NA,1.79226306655124e-07,6.93539352794245e-05,1.23230057899122e-09,NA,NA,NA,NA
"Zm00001eb021880",6.04746040334576e-07,0.618656091524704,7.66564458894791e-07,0.405983018199275,0.000815297415362595,NA,1.41666574517248e-05,0.0179493410240835,NA,2.75236130605094e-07,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb022920",1.52634652759975e-07,0.617081972192766,0.00257661777644721,NA,NA,NA,3.40675915682152e-09,NA,NA,NA,NA,7.6875677499389e-06,8.99957579906744e-05,3.39708291449147e-07,NA,NA,NA,NA
"Zm00001eb022980",5.67682976444549e-09,0.679498787923961,0.0127857726511038,NA,NA,NA,NA,NA,NA,NA,1.82853850936511e-10,1.91922767635406e-08,8.88789539555908e-06,1.26510863961621e-08,NA,NA,NA,NA
"Zm00001eb024180",7.52795801572606e-08,0.63147832421387,2.87054946021208e-15,NA,NA,NA,NA,2.34472483323637e-08,0.00161582541134478,3.23735938157454e-08,1.33551847497981e-05,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb024430",2.24382104627874e-09,0.721431597258764,NA,NA,NA,NA,0.819880456479243,NA,1.44663189616594e-05,NA,0.0408485518979746,1.73908444025245e-09,NA,1.82526032059943e-09,NA,NA,NA,NA
"Zm00001eb024970",7.27628240558961e-13,0.801641652560279,4.49649505410325e-08,0.183070601183764,0.000364229105636361,8.77599775379071e-05,NA,0.0442729661561561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb025100",1.83115205966959e-07,0.643554997031147,NA,NA,0.281642388557489,0.000326943310921064,3.07211844273967e-05,0.0129893145699505,NA,NA,NA,NA,NA,NA,0.000293122337237371,NA,NA,NA
"Zm00001eb025450",6.35414675223054e-09,0.677546498420325,NA,NA,NA,NA,NA,NA,0.000626628375262639,NA,4.36551032409642e-10,1.74745385228596e-08,NA,4.58900331325845e-08,NA,NA,NA,NA
"Zm00001eb025910",1.39163817036327e-08,0.663622759514282,1.32000498613503e-09,NA,NA,2.25464595057906e-10,0.0170766870990753,NA,NA,NA,NA,0.00053985642411115,2.98416483331329e-05,NA,NA,NA,NA,NA
"Zm00001eb025970",1.76101184859896e-10,0.706750990641531,NA,NA,NA,2.63036285439308e-10,NA,NA,7.107365999686e-06,NA,NA,NA,NA,NA,NA,NA,0.0193014416012449,NA
"Zm00001eb026440",2.92996553103453e-07,0.60327673232683,NA,NA,NA,NA,NA,NA,NA,NA,1.01395270803868e-08,1.42451171909272e-07,8.37587673057922e-06,1.56465237010447e-06,NA,NA,NA,NA
"Zm00001eb027100",5.53790943319092e-08,0.69322978902238,1.36017132558809e-17,NA,0.00240261862201347,4.19298854854482e-05,NA,3.53957615865531e-07,0.00992345357777712,NA,NA,NA,0.0302670363598963,NA,0.00173940848725552,NA,NA,NA
"Zm00001eb027940",2.43418204771747e-07,0.607253647412989,NA,NA,NA,NA,NA,NA,NA,NA,1.18242090945299e-08,6.47286610667921e-05,0.00583640110130167,1.87440829792298e-06,NA,NA,NA,NA
"Zm00001eb028370",7.17959791756122e-08,0.661855870921643,9.78584584991718e-20,NA,0.00449574398081452,NA,NA,8.67545177196479e-08,NA,NA,NA,NA,NA,1.81099964443145e-09,2.01217794344919e-05,NA,0.00788834927663488,NA
"Zm00001eb028900",4.79779657497151e-14,0.846094047600373,9.46686131086084e-18,4.82518543999262e-13,0.000145004352710773,1.29377363257541e-13,NA,NA,0.00927262784814271,NA,NA,NA,0.0304452744678855,NA,NA,NA,NA,NA
"Zm00001eb028910",1.26976928115077e-14,0.840077902498478,2.61311867788562e-18,4.61989839274242e-13,8.03941818959605e-07,5.59416528154732e-14,NA,NA,0.000196218307677586,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb029530",2.95289654155987e-12,0.807011309252854,NA,NA,NA,NA,0.381961649847556,NA,NA,NA,0.0279049704414707,4.08635210133809e-12,2.65068443227052e-07,2.55259821061889e-12,NA,NA,NA,NA
"Zm00001eb030380",1.17165852114471e-08,0.666731158823748,NA,NA,NA,NA,NA,NA,NA,NA,3.91853785134332e-09,6.17079666592857e-08,0.00649570444314188,6.06075269418847e-08,NA,NA,NA,NA
"Zm00001eb030390",6.60210843306063e-08,0.634088308944925,NA,NA,NA,NA,8.16055321431e-09,NA,NA,NA,NA,3.31286795319129e-07,0.00390838233945759,2.98263480886208e-07,NA,NA,NA,NA
"Zm00001eb031100",2.87448466592469e-07,0.603688803323851,NA,NA,NA,NA,9.34243483401644e-09,NA,NA,NA,NA,0.000823871279818855,0.00471072964053141,6.51507074554792e-05,NA,NA,NA,NA
"Zm00001eb032380",1.02753880411054e-09,0.707653207589163,0.000689961869485739,NA,NA,NA,2.12011901808084e-11,NA,0.00138225727400189,NA,NA,6.45041012174713e-07,NA,NA,NA,NA,NA,5.99410696563613e-08
"Zm00001eb032500",1.60657001863968e-07,0.616016031609068,1.21975876068908e-10,1.36489839466529e-07,4.30292018267199e-05,1.40615536192607e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102660217839647,NA
"Zm00001eb032600",5.23654948425291e-08,0.638649842177255,NA,NA,NA,NA,NA,NA,NA,NA,1.79740811558952e-09,5.09406261480171e-07,NA,6.79732092879429e-08,NA,NA,8.07655246749189e-05,NA
"Zm00001eb032690",6.46193531612119e-08,0.634513267400525,0.00281780024415619,NA,NA,NA,4.45074851108509e-08,6.05606885386384e-07,NA,NA,NA,NA,NA,2.16209556257104e-07,NA,NA,0.0205353560064429,NA
"Zm00001eb033540",1.5864478214544e-13,0.83566100435874,NA,NA,NA,NA,0.572579105865501,NA,0.00207602204979175,NA,0.00992384368907448,8.30645544975338e-11,NA,8.00561688703019e-11,NA,NA,NA,NA
"Zm00001eb033680",7.88313117342937e-07,0.612882324592685,3.63090393406683e-11,NA,0.0039807601239675,0.000815128076415672,NA,0.000107683994156405,0.0170307908899115,NA,NA,NA,NA,NA,NA,NA,NA,0.0262255923991196
"Zm00001eb033760",3.6365244896792e-09,0.687094063881755,4.21393276432646e-06,NA,0.000314216606895619,NA,0.000158499685918539,NA,0.00576127977791877,NA,0.00123395424138106,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb034290",7.44831882694437e-09,0.702159776609339,NA,NA,0.117024592924937,NA,8.58660489998601e-10,NA,NA,5.15994266408096e-06,NA,NA,NA,NA,NA,0.000647659976289371,0.022770132015427,NA
"Zm00001eb034370",4.31219156377841e-08,0.642427294370449,NA,NA,NA,NA,2.24110862203469e-09,NA,NA,0.000135650504532758,NA,NA,NA,NA,NA,0.00797018276228029,0.000521223770717061,NA
"Zm00001eb034650",4.0113441021901e-08,0.643823356711523,2.01699659522205e-12,NA,NA,NA,NA,2.85293507971132e-07,NA,4.87890963029356e-08,6.67901763042462e-09,NA,NA,NA,NA,NA,0.000108540037728716,NA
"Zm00001eb034810",2.94901610913365e-12,0.807025280120762,NA,NA,NA,NA,0.593641434868757,NA,NA,NA,0.0174962823616654,8.95182475368159e-12,5.14458044291087e-05,8.82962193296703e-12,NA,NA,NA,NA
"Zm00001eb035010",3.13024208094769e-07,0.60184804518421,0.00696477649788733,NA,NA,NA,2.35985277210372e-08,NA,NA,NA,NA,8.39804572364094e-06,NA,1.84474310673892e-06,NA,NA,0.00993359039931534,NA
"Zm00001eb035550",3.92216075719569e-08,0.644256222859008,0.000235508814258037,NA,NA,NA,9.66022711189271e-09,NA,NA,NA,NA,2.4215438677465e-07,0.0114767031998105,3.0069496480008e-07,NA,NA,NA,NA
"Zm00001eb035580",6.16559613152066e-10,0.715562488997285,1.622712374158e-22,NA,NA,2.33454323783797e-08,NA,NA,0.00524452762663092,NA,1.10217077202883e-09,NA,NA,NA,NA,0.000286906229395428,NA,NA
"Zm00001eb036480",3.2582318713767e-08,0.647805919291404,7.15435618245817e-13,8.73614351935386e-08,1.74172074477068e-05,6.11154537616038e-08,NA,NA,0.00153017760226257,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb036550",3.77572871403452e-10,0.72294949490298,0.00701998065754135,NA,NA,NA,5.52076332848968e-12,NA,NA,NA,NA,1.0767076735544e-07,1.3264531970619e-05,2.42355142053212e-08,NA,NA,NA,NA
"Zm00001eb036910",2.92484807723158e-09,0.763176912766796,NA,0.308258964967507,0.518308406305879,0.287758328948967,9.48824060133334e-06,0.00026487200185776,0.0404292413957984,0.000193987449566312,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb037980",1.89518611853127e-09,0.724037760814473,2.00171866214412e-13,0.215250123731769,0.844639883268307,1.17969668729933e-07,NA,0.0392518534621459,NA,NA,NA,NA,NA,NA,0.000206427748085766,NA,NA,NA
"Zm00001eb038740",2.89677640474352e-13,0.811137621091444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25054560695339e-14,9.96114972420438e-13,3.7458423242777e-08,1.02123331408756e-12
"Zm00001eb039130",9.4327496681837e-09,0.670605765803765,1.89061281528957e-05,NA,1.66080629940922e-06,NA,0.040015657482036,NA,0.000220953306378082,NA,NA,NA,0.00104543185869239,NA,NA,NA,NA,NA
"Zm00001eb039420",1.91532645134124e-07,0.670195117784443,NA,0.0347304865082153,NA,NA,NA,3.8267419165777e-05,NA,0.818913105020754,4.46109560161999e-07,NA,NA,NA,NA,NA,0.227204822509409,0.0325934363883703
"Zm00001eb040560",4.58288471331667e-08,0.641247600527165,NA,NA,NA,NA,4.77806605292459e-09,1.8120179055008e-05,NA,NA,NA,NA,NA,4.70464063314046e-06,NA,NA,0.0366467236464935,NA
"Zm00001eb040580",5.24643224936483e-10,0.656447428618237,3.95786905844104e-22,NA,0.00015912350487957,NA,NA,NA,NA,NA,7.32668437172545e-10,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb040890",2.76052158569961e-11,0.759161504663942,NA,NA,NA,NA,NA,NA,NA,NA,2.38999076469632e-12,1.53859197385319e-10,1.048543406545e-05,1.32499062226786e-10,NA,NA,NA,NA
"Zm00001eb040970",4.23643064503721e-09,0.618626945624109,2.34648725943807e-23,NA,0.020963620374129,NA,1.10458447614491e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb041280",1.60032360699614e-10,0.708200686386355,0.0346030368654677,NA,NA,NA,NA,1.42342200072031e-06,0.00427052952520977,1.31993193513367e-11,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb041460",3.36599539395199e-09,0.688393370554427,6.25137135508328e-21,NA,0.000928932922882256,6.10322699850509e-09,NA,NA,NA,NA,1.18976757683846e-07,NA,NA,NA,NA,3.21292136011222e-05,NA,NA
"Zm00001eb041500",1.84939183691134e-07,0.613070963332492,2.52132721214651e-06,NA,NA,NA,NA,NA,NA,4.65731893394652e-08,NA,NA,0.00418127224566502,NA,NA,0.000108614272939087,0.0297095769836597,NA
"Zm00001eb041600",3.65806064734478e-08,0.645594825383375,NA,NA,NA,NA,9.88067256523981e-10,NA,NA,NA,NA,6.70063809137664e-05,NA,NA,NA,NA,0.00235334899217753,1.98940759032381e-05
"Zm00001eb041890",5.13465581465109e-11,0.751033338267224,5.57723055662244e-06,0.216908277019805,1.96702186360432e-07,5.14803465138906e-06,NA,NA,NA,0.0282446030408665,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb042270",6.43381362004716e-08,0.714976744718204,0.00318975556990733,0.875454197254773,0.850695312798307,0.535788592967105,NA,NA,NA,NA,1.5298432549577e-06,4.97273385901554e-05,NA,2.32462895749621e-05,NA,NA,0.0103372781735805,NA
"Zm00001eb042410",1.29725413558539e-09,0.729796213057997,NA,NA,NA,NA,0.00168143448803123,NA,0.000225876674321321,1.23883160086131e-06,NA,3.22226581710727e-06,NA,NA,0.0040220083470834,NA,NA,NA
"Zm00001eb042530",1.16505782118224e-10,0.739870790275813,2.65636828320471e-22,NA,NA,3.52005958000369e-08,NA,NA,0.0053843258658423,NA,8.61147868192494e-11,NA,NA,NA,NA,0.000192145145168082,NA,NA
"Zm00001eb043240",2.37381850513962e-07,0.607789113502746,9.58527815478876e-25,NA,NA,9.42857152822021e-07,NA,NA,NA,NA,NA,0.000343737060534783,0.0414245918436964,NA,5.13356647292909e-07,NA,NA,NA
"Zm00001eb043760",9.94139765013494e-07,0.607752257610854,2.53755704306386e-09,0.65672520353894,NA,NA,NA,0.000737505815776748,0.0115663932547464,8.31936225473165e-07,5.87073168480027e-06,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb044160",6.32700815087722e-08,0.664249427181898,5.91002122463357e-11,0.00545908543062788,0.870318551324685,8.71822987008756e-06,0.000358734549977876,NA,NA,NA,NA,0.250882683493972,NA,NA,NA,NA,NA,NA
"Zm00001eb044390",1.56425638869205e-12,0.793382454344632,NA,NA,NA,NA,3.50546230594259e-13,NA,0.00118188400770913,NA,NA,6.31651429054148e-11,NA,7.1296066907062e-11,NA,NA,NA,NA
"Zm00001eb045010",6.45144394272547e-13,0.82250070612219,NA,NA,NA,NA,0.481546937831874,NA,NA,NA,0.0126210542044493,1.12350863944311e-12,5.44598248875735e-07,1.69846037008004e-12,NA,NA,NA,NA
"Zm00001eb045560",3.11434282593512e-08,0.648664816964063,4.89773207744931e-08,1.05482059629289e-05,0.776580337430376,4.46132852834973e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.00732308036598688,NA,NA,NA
"Zm00001eb045660",9.26230382734892e-08,0.627315266301098,NA,NA,NA,NA,2.76853679495246e-09,NA,NA,NA,NA,1.48236607642038e-06,1.48590556365779e-05,7.97502383853826e-08,NA,NA,NA,NA
"Zm00001eb045740",1.06745282524027e-08,0.668401445994488,3.10456063395066e-10,NA,0.00620311582597393,5.99907796839723e-06,0.00344484245028271,NA,NA,0.00292153224158491,NA,NA,NA,NA,NA,NA,NA,NA
