"B73_noP_all_ONLY","B73_PvsB73_noP_ONLY","MICH_noPvsB73_noP_ONLY","MICH_PvsB73_noP_ONLY","B73_noP_all_B73_PvsB73_noP","B73_noP_all_MICH_noPvsB73_noP","B73_noP_all_MICH_PvsB73_noP","B73_PvsB73_noP_MICH_noPvsB73_noP","B73_PvsB73_noP_MICH_PvsB73_noP","MICH_noPvsB73_noP_MICH_PvsB73_noP","ALL"
"Zm00001eb176730","Zm00001eb195620","Zm00001eb197050","Zm00001eb298230","Zm00001eb190240","Zm00001eb190240","Zm00001eb190240","Zm00001eb190240","Zm00001eb190240","Zm00001eb190240","Zm00001eb190240"
"Zm00001eb101850","Zm00001eb192970","Zm00001eb170400","Zm00001eb351110","Zm00001eb191790","Zm00001eb191790","Zm00001eb191790","Zm00001eb191790","Zm00001eb191790","Zm00001eb191790","Zm00001eb191790"
"Zm00001eb114170","Zm00001eb191310","Zm00001eb108340","Zm00001eb140380","Zm00001eb189910","Zm00001eb189910","Zm00001eb189910","Zm00001eb191820","Zm00001eb191820","Zm00001eb191820","Zm00001eb189910"
"Zm00001eb027390","Zm00001eb163840","Zm00001eb084030","Zm00001eb337150","Zm00001eb164960","Zm00001eb164960","Zm00001eb164960","Zm00001eb188070","Zm00001eb188070","Zm00001eb188070","Zm00001eb164960"
"Zm00001eb228020","Zm00001eb094360","Zm00001eb342100","Zm00001eb090640","Zm00001eb196600","Zm00001eb196600","Zm00001eb196600","Zm00001eb188750","Zm00001eb198410","Zm00001eb188750","Zm00001eb196600"
"Zm00001eb433610","Zm00001eb137390","Zm00001eb196430","Zm00001eb304570","Zm00001eb426570","Zm00001eb426570","Zm00001eb426570","Zm00001eb196780","Zm00001eb188750","Zm00001eb196780","Zm00001eb426570"
"Zm00001eb160060","Zm00001eb353890","Zm00001eb291010","Zm00001eb154770","Zm00001eb192080","Zm00001eb192080","Zm00001eb192080","Zm00001eb196760","Zm00001eb196780","Zm00001eb196760","Zm00001eb192080"
"Zm00001eb260140","Zm00001eb371920","Zm00001eb011330","Zm00001eb250820","Zm00001eb037440","Zm00001eb192980","Zm00001eb037440","Zm00001eb189350","Zm00001eb196760","Zm00001eb264460","Zm00001eb192980"
"Zm00001eb431800","Zm00001eb378560","Zm00001eb168200","Zm00001eb298910","Zm00001eb192980","Zm00001eb190350","Zm00001eb192980","Zm00001eb193260","Zm00001eb189350","Zm00001eb189350","Zm00001eb190350"
"Zm00001eb315640","Zm00001eb392960","Zm00001eb326430","Zm00001eb377030","Zm00001eb147920","Zm00001eb191890","Zm00001eb147920","Zm00001eb189910","Zm00001eb193260","Zm00001eb193260","Zm00001eb189900"
"Zm00001eb143430","Zm00001eb029120","Zm00001eb361560","Zm00001eb407220","Zm00001eb190350","Zm00001eb189900","Zm00001eb190350","Zm00001eb192850","Zm00001eb189910","Zm00001eb189910","Zm00001eb401970"
"Zm00001eb226060","Zm00001eb210880","Zm00001eb293200",NA,"Zm00001eb327040","Zm00001eb401970","Zm00001eb327040","Zm00001eb193620","Zm00001eb192850","Zm00001eb192850","Zm00001eb294450"
"Zm00001eb100140","Zm00001eb310670","Zm00001eb303340",NA,"Zm00001eb191890","Zm00001eb294450","Zm00001eb189900","Zm00001eb193300","Zm00001eb193620","Zm00001eb334460","Zm00001eb260630"
"Zm00001eb403240","Zm00001eb336560",NA,NA,"Zm00001eb189900","Zm00001eb260630","Zm00001eb401970","Zm00001eb187430","Zm00001eb193300","Zm00001eb193620","Zm00001eb098650"
