gene,p-value,R-squared,p.valor_beta0,p.valor_MICH_noPvsB73_noP,p.valor_Time,p.valor_TimexMICH_noP,p.valor_Time2,p.valor_Time2xMICH_noP,p.valor_Time3,p.valor_Time3xMICH_noP
Zm00001eb000540,1.01E-21,0.828397756,1.12E-16,1.56E-08,NA,NA,NA,NA,NA,NA
Zm00001eb000690,0.000127375,0.62816347,4.74E-08,0.014529802,0.027771567,0.007269734,NA,0.004611786,0.005162058,NA
Zm00001eb000750,2.85E-09,0.759380118,4.23E-13,0.0096109,NA,0.006430751,0.006226948,NA,0.018582868,0.013051886
Zm00001eb000850,2.29E-09,0.719830009,4.98E-21,NA,NA,NA,4.62E-06,0.011198573,NA,NA
Zm00001eb001130,2.95E-06,0.635135484,1.19E-15,0.041729945,0.000693868,NA,NA,NA,0.002721507,NA
Zm00001eb001140,4.91E-31,0.902386986,1.96E-15,NA,NA,NA,0.00053781,0.005846306,0.036161219,NA
Zm00001eb002190,1.48E-21,0.85944339,5.88E-24,NA,NA,NA,1.40E-08,0.00038525,NA,NA
Zm00001eb002200,1.15E-08,0.652595157,4.49E-13,NA,NA,NA,NA,NA,0.000192505,0.002919294
Zm00001eb002280,2.55E-09,0.781329652,NA,0.001579495,NA,0.034416782,NA,NA,NA,NA
Zm00001eb002350,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb002390,4.34E-15,0.821440098,1.52E-07,NA,NA,0.034338018,0.000657561,NA,0.007657008,NA
Zm00001eb002750,5.96E-05,0.636313382,0.001785317,0.004065053,0.022817815,NA,0.016139944,NA,0.014036562,NA
Zm00001eb002880,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb003190,2.71E-05,0.601580716,1.89E-19,NA,NA,NA,0.00877697,0.030158014,0.035103452,NA
Zm00001eb003200,4.51E-07,0.671980395,5.07E-13,NA,0.039799157,NA,0.003988035,0.011872278,NA,NA
Zm00001eb003450,1.86E-09,0.754874158,1.54E-06,NA,NA,NA,0.001083818,0.022758129,0.005575774,0.046717125
Zm00001eb003470,4.39E-06,0.610759887,NA,0.006638252,0.043294538,NA,0.02277573,NA,0.015160237,NA
Zm00001eb003480,1.01E-12,0.794653207,5.60E-15,NA,NA,NA,0.00050132,0.021641143,0.005234546,NA
Zm00001eb003700,1.22E-24,0.82864384,0.000644012,NA,NA,NA,NA,NA,2.20E-06,0.000101032
Zm00001eb003760,2.34E-11,0.788202707,4.13E-13,0.036202207,NA,0.018685751,0.000234323,0.008511688,NA,NA
Zm00001eb003800,0,0.999999985,4.56E-07,2.22E-06,2.14E-06,8.33E-05,3.18E-05,0.000699355,0.000186965,0.002665988
Zm00001eb003810,4.76E-06,0.606950527,7.13E-21,NA,NA,NA,0.000166749,NA,NA,0.021833374
Zm00001eb004050,0.000109576,0.612637896,2.96E-19,0.004382475,NA,0.004089467,0.003556214,NA,NA,0.024272532
Zm00001eb004320,2.04E-06,0.633341946,9.56E-14,NA,NA,NA,6.29E-05,0.017060805,NA,NA
Zm00001eb004410,6.29E-11,0.754559272,1.80E-21,NA,NA,NA,2.18E-06,0.016760286,NA,NA
Zm00001eb004430,1.28E-20,0.789152438,1.52E-12,NA,NA,NA,1.25E-07,0.000169724,NA,NA
Zm00001eb004530,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb004550,3.02E-07,0.697922046,1.78E-08,NA,0.001195954,NA,0.000508195,0.007401422,NA,NA
Zm00001eb004590,6.29E-13,0.776584644,1.05E-16,NA,NA,NA,1.60E-06,0.000486986,NA,NA
Zm00001eb004670,1.06E-08,0.683920408,9.42E-24,NA,NA,NA,8.28E-06,0.022250888,NA,NA
Zm00001eb004740,6.35E-10,0.672809018,NA,NA,0.035873317,NA,0.00315789,0.003955608,NA,NA
Zm00001eb005330,1.58E-09,0.708588258,1.47E-27,NA,NA,NA,NA,0.001389884,3.98E-06,NA
Zm00001eb005800,4.67E-07,0.613723564,8.04E-22,NA,NA,NA,NA,0.000298334,NA,0.000726347
Zm00001eb005830,7.68E-12,0.751728151,1.12E-23,NA,NA,NA,1.98E-06,0.026033247,NA,NA
Zm00001eb005920,3.63E-08,0.689085464,1.22E-16,NA,NA,NA,2.59E-05,0.014160708,NA,NA
Zm00001eb006050,1.99E-10,0.733343148,0.021359374,NA,0.013441248,NA,0.024592361,0.010832577,NA,NA
Zm00001eb006290,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb006300,1.68E-09,0.7606022,1.31E-15,0.007210014,0.010399448,0.010801685,NA,0.01124853,NA,NA
Zm00001eb006390,1.55E-10,0.751740624,1.13E-17,NA,NA,NA,0.00460235,0.005376691,0.038979033,NA
Zm00001eb006830,7.30E-20,0.851293831,2.27E-22,NA,NA,NA,3.96E-08,0.005002195,NA,NA
Zm00001eb006860,6.63E-17,0.813187396,NA,0.032657113,NA,NA,0.000731314,NA,0.002551276,NA
Zm00001eb006880,4.83E-07,0.680326252,1.98E-15,NA,NA,NA,0.000113545,NA,NA,0.022643882
Zm00001eb007170,7.51E-08,0.680953543,3.07E-12,0.001822354,0.032461845,NA,0.00759129,NA,NA,NA
Zm00001eb007180,2.25E-06,0.626514383,1.17E-16,0.030412561,NA,NA,0.000427424,NA,NA,NA
Zm00001eb007310,1.77E-43,0.944300533,1.32E-10,0.014030721,NA,0.010183359,0.00097732,0.007452361,0.005021132,0.006699483
Zm00001eb007470,3.04E-07,0.651452854,3.31E-12,NA,NA,NA,NA,0.023578885,0.000208919,0.009723186
Zm00001eb007510,9.53E-07,0.663328969,5.73E-13,0.040653489,0.001116256,NA,0.003048153,NA,NA,NA
Zm00001eb007650,3.75E-09,0.765533862,2.55E-14,NA,NA,NA,0.000942606,NA,0.006631425,0.009354365
Zm00001eb007840,0,0.999999991,5.75E-17,0.003946389,NA,0.001150512,NA,0.000169054,NA,1.44E-05
Zm00001eb008070,3.63E-07,0.674943375,1.43E-14,NA,NA,0.038153007,0.00685369,NA,0.033261864,NA
Zm00001eb008250,1.12E-07,0.713323507,9.59E-07,0.01531931,NA,0.016156564,0.04368006,NA,NA,0.042680615
Zm00001eb008500,5.81E-10,0.776818465,2.67E-06,0.017890844,NA,0.007541372,0.012501668,0.004300887,NA,0.00280418
Zm00001eb008810,2.66E-07,0.699899636,1.94E-18,NA,3.47E-05,NA,NA,NA,NA,0.015699417
Zm00001eb008910,1.57E-07,0.675125886,1.17E-16,NA,0.026319238,NA,0.002647884,0.014100046,NA,NA
Zm00001eb008970,1.18E-11,0.781757233,NA,NA,NA,NA,0.021493362,0.010755666,0.048521289,0.017136826
Zm00001eb009240,8.67E-05,0.616825879,9.19E-20,0.004399542,NA,0.004133279,0.008734336,0.015259336,NA,NA
Zm00001eb009400,8.69E-32,0.821441856,1.61E-09,NA,NA,NA,1.20E-05,NA,7.32E-06,0.001567402
Zm00001eb009410,2.14E-06,0.605121697,0.016024238,0.001925258,NA,NA,NA,0.006573362,NA,NA
Zm00001eb009430,1.28E-14,0.806965442,2.98E-13,NA,NA,NA,0.002121918,0.012993224,0.028535456,NA
Zm00001eb009490,2.87E-05,0.642240738,1.13E-10,0.017620711,0.045554915,0.009774008,NA,0.011648169,NA,NA
Zm00001eb009550,1.40E-08,0.686433196,4.57E-16,0.040985116,NA,NA,0.010240826,NA,0.042993638,NA
Zm00001eb009600,1.64E-16,0.801565687,8.25E-20,0.039333625,NA,NA,5.08E-07,NA,NA,NA
Zm00001eb009660,1.43E-05,0.644999307,4.26E-13,NA,NA,0.013119232,0.000884409,0.007774369,NA,0.0085404
Zm00001eb009710,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb009840,1.84E-16,0.796634208,0.03708921,NA,0.015022761,0.000991148,0.0457144,NA,NA,NA
Zm00001eb010140,2.51E-09,0.733291294,2.60E-12,0.001874217,NA,0.005566971,0.003928183,0.01024109,NA,NA
Zm00001eb010150,1.79E-07,0.688388361,5.85E-15,NA,NA,NA,0.001495013,0.030719486,0.008038875,NA
Zm00001eb010450,7.82E-07,0.684561333,0.018470614,0.008418381,0.011309033,0.004848991,0.012610579,0.004238588,NA,NA
Zm00001eb010540,1.11E-05,0.614477691,1.58E-16,NA,NA,NA,0.005790739,0.010004724,NA,0.026402078
Zm00001eb010770,1.22E-06,0.661302551,2.44E-23,NA,NA,NA,3.99E-05,0.00163168,NA,NA
Zm00001eb010840,1.33E-47,0.935015347,0.000119943,NA,NA,NA,NA,6.34E-07,NA,NA
Zm00001eb010850,0.006766135,0.610234863,0.014186174,0.013640363,0.020403396,0.01512299,0.019408165,0.016406608,0.018138914,0.018579119
Zm00001eb011140,1.81E-05,0.625143663,6.35E-17,NA,NA,0.022349837,0.000293901,NA,NA,NA
