gene,p-value,R-squared,p.valor_beta0,p.valor_ControlvsPhosphorus,p.valor_Time,p.valor_TimexControl,p.valor_Time2,p.valor_Time2xControl,p.valor_Time3,p.valor_Time3xControl
Zm00001eb001140,2.78E-08,0.886381354,1.76E-08,NA,9.43E-06,NA,0.000305252,NA,NA,NA
Zm00001eb001950,2.72E-07,0.797195848,5.80E-13,NA,NA,NA,2.72E-07,NA,NA,NA
Zm00001eb002190,3.30E-06,0.793517259,4.78E-12,NA,NA,NA,1.06E-06,0.028072268,NA,NA
Zm00001eb002350,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb002880,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb003800,3.08E-148,1,1.19E-148,2.69E-147,2.60E-147,8.98E-146,3.22E-146,1.18E-144,2.26E-145,8.10E-144
Zm00001eb004530,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb006290,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb006830,2.95E-07,0.795265236,1.30E-10,NA,2.95E-07,NA,NA,NA,NA,NA
Zm00001eb007120,0.001193856,0.568859344,NA,NA,NA,NA,0.000458574,0.003066814,NA,NA
Zm00001eb007310,9.58E-08,0.867358418,2.15E-08,NA,3.01E-05,NA,0.000821013,NA,NA,NA
Zm00001eb007500,2.54E-06,0.800243673,1.08E-07,NA,0.000140729,NA,0.001791884,NA,NA,NA
Zm00001eb007840,5.57E-204,1,0.012168462,1.14E-193,NA,1.17E-194,NA,5.81E-196,NA,2.23E-197
Zm00001eb008170,2.75E-07,0.88514272,1.72E-05,NA,0.00300552,NA,0.01635592,NA,0.038505757,NA
Zm00001eb008970,3.40E-05,0.919446272,0.00586237,0.012522415,0.001923772,0.005274902,0.000840338,0.002428259,0.000731083,0.001731118
Zm00001eb009710,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb010370,7.70E-05,0.611186445,7.54E-12,NA,NA,NA,7.70E-05,NA,NA,NA
Zm00001eb010560,8.44E-06,0.916061353,4.50E-06,0.00123357,0.000185578,0.007601756,0.001610549,0.025129417,0.00669189,NA
Zm00001eb010840,1.44E-12,0.984854059,NA,0.006524779,NA,0.001889196,NA,0.000253771,NA,1.69E-05
Zm00001eb012560,0.000303091,0.636757469,0.001226655,NA,NA,NA,9.58E-05,0.001696608,NA,NA
Zm00001eb012750,2.66E-07,0.797669764,6.05E-12,NA,2.66E-07,NA,NA,NA,NA,NA
Zm00001eb013340,3.86E-05,0.719242033,4.18E-07,NA,0.005114246,NA,0.044320855,NA,NA,NA
Zm00001eb013670,1.19E-05,0.910917678,3.61E-06,1.59E-06,0.000120526,1.45E-05,0.002129124,6.89E-05,0.016855246,NA
Zm00001eb014490,9.81E-08,0.899966472,8.57E-10,NA,1.08E-05,NA,NA,0.036134285,0.018659017,NA
Zm00001eb015490,1.38E-07,0.86114469,2.88E-09,NA,4.28E-05,NA,0.001107264,NA,NA,NA
Zm00001eb015950,3.30E-07,0.845185717,9.41E-08,NA,0.000189403,NA,0.004714406,NA,NA,NA
Zm00001eb016200,1.70E-08,0.920948675,1.00E-05,NA,0.000749899,NA,0.007151369,NA,0.024652724,NA
Zm00001eb016410,4.72E-07,0.83809406,7.66E-09,NA,NA,NA,7.99E-05,NA,0.000807792,NA
Zm00001eb017020,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb017030,2.40E-07,0.887178311,4.35E-05,NA,0.001687787,NA,0.010790729,NA,0.030018708,NA
Zm00001eb017870,9.82E-06,0.854097796,0.047711853,1.16E-06,NA,1.05E-06,NA,1.62E-06,NA,2.53E-06
Zm00001eb020800,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb020890,1.12E-05,0.851220999,NA,NA,NA,NA,0.012466627,0.031924109,0.000934859,0.004593583
Zm00001eb021060,0.000558983,0.862747044,0.000416454,0.001665377,0.0002908,0.001336953,0.000165758,0.000974515,0.000141022,0.000882695
Zm00001eb021800,3.88E-08,0.966280729,2.86E-07,0.000494948,1.27E-05,0.003497956,0.000259682,0.013935493,0.002295126,NA
Zm00001eb025160,5.29E-07,0.835785668,8.94E-08,NA,1.72E-05,NA,0.000231961,NA,NA,NA
Zm00001eb025490,5.87E-05,0.849708563,3.79E-05,NA,3.21E-05,0.015017044,7.93E-05,0.035465935,0.000194641,NA
Zm00001eb025880,5.95E-06,0.826234873,9.18E-05,NA,0.0047471,NA,0.017520638,NA,0.034522389,NA
Zm00001eb026680,1.28E-06,0.858805027,NA,5.53E-06,NA,0.001087594,NA,0.014292828,NA,NA
Zm00001eb026690,1.26E-05,0.807723036,8.91E-06,NA,7.18E-05,NA,0.000153068,NA,0.000226302,NA
Zm00001eb029210,0.000279399,0.807037769,1.51E-05,0.000173349,0.000114474,0.00159244,0.000493631,0.00652601,NA,NA
Zm00001eb029770,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb029980,0.000153954,0.824679701,1.23E-05,0.000833174,8.09E-05,0.001894305,0.000304517,0.004059562,NA,NA
Zm00001eb031570,2.71E-06,0.879050926,NA,5.52E-07,NA,4.37E-07,NA,6.92E-07,NA,1.27E-06
Zm00001eb031870,1.29E-05,0.881799673,6.55E-06,0.016317544,0.002486523,0.017109756,0.021890441,0.033312451,NA,NA
Zm00001eb032420,4.57E-06,0.944656082,1.51E-06,2.67E-05,2.39E-05,0.000256404,0.000171871,0.001277376,0.000664504,0.003894718
Zm00001eb033090,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb033390,2.04E-06,0.743815985,5.26E-10,NA,2.04E-06,NA,NA,NA,NA,NA
Zm00001eb033540,1.62E-06,0.81109227,NA,NA,NA,NA,5.64E-07,0.030709943,NA,NA
Zm00001eb034510,0.001300012,0.798048023,NA,NA,0.024900811,0.036701794,0.005262157,0.00902496,0.00239246,0.00641524
Zm00001eb034900,8.06E-07,0.923569937,9.32E-07,NA,6.94E-05,0.008661239,0.000805432,0.017465678,NA,0.029658149
Zm00001eb035200,1.68E-06,0.887169003,NA,3.66E-06,NA,1.62E-05,NA,2.30E-05,NA,2.61E-05
Zm00001eb035340,1.05E-06,0.821039257,4.55E-14,NA,NA,NA,2.84E-07,0.00650221,NA,NA
Zm00001eb036520,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb037010,4.46E-08,0.879448171,1.29E-06,NA,NA,NA,3.27E-08,1.25E-07,NA,NA
Zm00001eb037280,4.18E-06,0.901063908,1.37E-06,0.002751211,9.28E-05,NA,0.000762601,0.006879944,NA,0.011059918
Zm00001eb037440,1.60E-06,0.811410573,NA,NA,NA,NA,0.002443497,NA,0.025002891,NA
Zm00001eb037570,4.13E-05,0.71688502,1.21E-05,NA,0.000509408,NA,0.003528665,NA,NA,NA
