"","p-value","R-squared","p.valor_beta0","p.valor_ControlvsPhosphorus","p.valor_Time","p.valor_TimexControl","p.valor_Time2","p.valor_Time2xControl","p.valor_Time3","p.valor_Time3xControl"
"Zm00001eb001140",4.90953019701052e-31,0.902386986208652,1.95981233916672e-15,NA,NA,NA,0.000537809744256264,0.00584630644082859,0.0361612190033126,NA
"Zm00001eb001160",0.00479266500538339,0.444894397032723,5.10831132733268e-16,NA,NA,0.00323244997171429,NA,0.00472391576797527,NA,0.00653519730272189
"Zm00001eb001170",0.000119940425410208,0.462186429860452,4.34409032275173e-22,NA,NA,NA,0.00114407028988792,NA,NA,NA
"Zm00001eb001200",0.000811815032264396,0.424184777970886,1.54262660685161e-24,NA,NA,NA,0.00313422821738877,NA,NA,NA
"Zm00001eb001220",NA,0,1.42017690193483e-06,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb001280",8.8185938128841e-05,0.54807914549,4.82664829727569e-07,NA,NA,NA,0.00471213075376802,NA,0.012968450534002,NA
"Zm00001eb001420",0.000177101260925519,0.522061893676013,2.34967252898957e-07,0.00781977271334601,NA,0.00561514619056361,NA,0.00356877379792264,NA,0.00235285700383825
"Zm00001eb001520",7.03908400973949e-05,0.561261502992498,1.36296997740589e-10,0.00600769464093826,NA,0.000758858782030543,0.0030251866006351,NA,NA,NA
"Zm00001eb001550",5.2631698095992e-05,0.578098781573374,0.0262770532475315,NA,0.0463629512886351,NA,0.0281990604314437,NA,0.0235289168415867,NA
"Zm00001eb001590",3.49054461830121e-05,0.496828942544031,4.52001134545557e-15,NA,0.00039972760863263,NA,NA,NA,NA,NA
"Zm00001eb001630",0.000379868423761287,0.47005657099125,0.000283554338905979,NA,0.0105358086781082,NA,NA,NA,NA,NA
"Zm00001eb001640",4.13814608965143e-07,0.599140401097785,9.35384840575382e-26,NA,NA,NA,6.17328233666254e-05,NA,NA,NA
"Zm00001eb001690",0.00283354102002387,0.400547871685027,NA,NA,NA,NA,0.0182002785080483,NA,NA,NA
"Zm00001eb001760",3.57360902546058e-05,0.506614482017501,1.3925253590071e-14,NA,NA,NA,0.000520596730568375,NA,NA,NA
"Zm00001eb001840",0.000999052443463143,0.384761083397364,6.85132258756856e-28,NA,NA,NA,0.00326706832051812,NA,NA,NA
"Zm00001eb001900",2.9567170661616e-06,0.572762174795389,7.12455255874252e-12,NA,9.21912075353089e-05,NA,NA,NA,NA,NA
"Zm00001eb001950",2.20881499710661e-12,0.698718353347795,9.89531828750992e-25,NA,NA,NA,1.04944168016369e-06,NA,NA,NA
"Zm00001eb001960",0.117598616461242,0.234222417589853,NA,NA,0.0377483574208927,NA,0.0390969600316643,NA,0.0401221747415801,NA
"Zm00001eb002030",0.00845532649178956,0.341241456008079,NA,NA,0.0324084837687863,NA,NA,NA,NA,NA
"Zm00001eb002180",0.00289657722835999,0.363573634143339,4.89571158303899e-19,NA,NA,NA,NA,NA,0.00786472179998404,NA
"Zm00001eb002190",1.4811436946971e-21,0.859443389973612,5.87919337614141e-24,NA,NA,NA,1.39619920644968e-08,0.000385249959146751,NA,NA
"Zm00001eb002200",1.15218450979733e-08,0.652595156618388,4.49194059669041e-13,NA,NA,NA,NA,NA,0.000192504864283688,0.00291929378904822
"Zm00001eb002210",0.00922189474635238,0.319899121569137,NA,NA,NA,NA,NA,NA,0.0286141826040456,NA
"Zm00001eb002270",5.60282884578419e-05,0.535182628592736,1.31118686522029e-26,NA,NA,0.0115167769762245,0.000389368534453873,NA,NA,NA
"Zm00001eb002280",2.5490943341773e-09,0.781329652285699,NA,0.00157949467983187,NA,0.0344167821810775,NA,NA,NA,NA
"Zm00001eb002290",NA,0,0.0308197543689811,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb002350",0,0.99999997825476,5.9909076810085e-07,2.71690652957226e-06,2.61123203965893e-06,9.94290684002067e-05,3.82654115902331e-05,0.000816474588463323,0.000221544642067065,0.00305444543485519
"Zm00001eb002380",3.13836465289443e-05,0.565673150521808,3.25585618888861e-16,NA,0.000629984700295276,NA,NA,NA,NA,NA
"Zm00001eb002390",4.33701481187752e-15,0.821440097752854,1.52126764469292e-07,NA,NA,0.0343380178797604,0.000657560940801624,NA,0.0076570079348993,NA
"Zm00001eb002440",6.17441647444732e-05,0.452378769228601,9.80765187975464e-16,NA,NA,0.00123858803832347,NA,NA,NA,NA
"Zm00001eb002590",1.03505205768418e-06,0.644971599957203,2.00343955233976e-13,NA,NA,NA,0.00512438536259285,NA,0.0201294832591319,NA
"Zm00001eb002600",NA,3.6769276796128e-15,0.00867050573021788,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb002620",2.35554457950888e-12,0.786206541927949,4.59561723291427e-15,NA,NA,NA,0.000139868513776257,NA,0.00100987762215571,NA
"Zm00001eb002680",4.14682298272836e-05,0.554012715642691,1.21918034446227e-11,0.000551282598567236,NA,0.00095511132630669,NA,NA,NA,NA
"Zm00001eb002700",0.000676850880632205,0.430292027929665,NA,NA,NA,NA,0.00310117522934607,NA,NA,NA
"Zm00001eb002720",0.0174414645246394,0.380389218011203,1.30209625508596e-18,NA,NA,0.0107755849635206,NA,0.00600853816273768,NA,0.00565756577515275
"Zm00001eb002750",5.95522464267356e-05,0.636313381769992,0.00178531654887668,0.00406505295643086,0.02281781530291,NA,0.0161399439716319,NA,0.0140365618441245,NA
"Zm00001eb002760",1.09577725094261e-10,0.663972398609169,NA,NA,NA,NA,0.000492920563312071,NA,0.00272547916065518,NA
"Zm00001eb002770",NA,1.40781206715455e-15,0.00419678380224763,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb002850",0.000108766689258669,0.528095949421323,4.21620218761213e-14,NA,0.0395548822321822,NA,0.0107082332755594,NA,NA,NA
"Zm00001eb002860",NA,1.32345389545806e-16,0.0208100914160739,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb002870",1.0527604460202e-06,0.615843800257164,2.50241619402661e-11,NA,NA,NA,0.00675893457744365,NA,0.0284530857535704,NA
"Zm00001eb002880",0,0.99999997825476,5.9909076810085e-07,2.71690652957226e-06,2.61123203965893e-06,9.94290684002067e-05,3.82654115902331e-05,0.000816474588463323,0.000221544642067065,0.00305444543485519
"Zm00001eb002900",NA,3.52372235962893e-15,0.00867050573021788,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb003020",0.000164589080886148,0.47623031710177,8.32824583103546e-12,NA,0.00448170905598045,NA,NA,NA,0.0396435929464762,NA
"Zm00001eb003080",1.3171957537681e-17,0.840272061602102,0.000165204914798821,NA,0.0428375941155756,NA,0.02965136359527,NA,0.0398247447183047,NA
"Zm00001eb003090",2.63794243507212e-05,0.537548556121302,NA,NA,0.000708180503121678,NA,0.00186384911366982,NA,NA,NA
"Zm00001eb003140",0.00120478911511951,0.36741940885125,6.12543947506379e-10,NA,NA,NA,NA,0.0103190916187182,NA,NA
"Zm00001eb003150",0.000664569484050952,0.420285977794852,2.54232728442825e-05,NA,0.00209676559330455,0.0345598605022868,NA,NA,NA,NA
"Zm00001eb003170",0.00055822754200329,0.456629881885286,1.12648871673819e-06,NA,0.00497263232022646,NA,0.016365149745998,NA,NA,NA
"Zm00001eb003190",2.70877182472099e-05,0.601580715609077,1.88909808124721e-19,NA,NA,NA,0.00877696998569801,0.0301580140419186,0.0351034518080332,NA
"Zm00001eb003200",4.51015312174573e-07,0.671980395094145,5.07001026259011e-13,NA,0.0397991567819491,NA,0.00398803459908013,0.0118722779735727,NA,NA
"Zm00001eb003220",NA,0,0.00867050573021776,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb003230",0.0395790600714686,0.248503367641747,0.0295664996995688,NA,NA,NA,0.0489301840771058,NA,NA,NA
"Zm00001eb003270",NA,2.21227610552857e-15,0.0041967838022476,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb003300",3.95369916704143e-05,0.535327546905165,1.88531656388387e-16,NA,NA,0.000479913109164845,NA,NA,NA,0.00050659195825273
"Zm00001eb003440",4.94539724473107e-07,0.62564068510368,4.00866009211304e-17,NA,NA,NA,0.000541343905756007,NA,0.00190343324504038,NA
"Zm00001eb003450",1.86360548490321e-09,0.754874158326832,1.53961530113236e-06,NA,NA,NA,0.00108381797456048,0.0227581291874439,0.00557577416058782,0.046717125416111
"Zm00001eb003460",1.51696694212957e-06,0.58074364225017,1.14841354445944e-08,NA,NA,NA,0.000139207453006991,NA,NA,NA
"Zm00001eb003470",4.38535708261555e-06,0.610759887088245,NA,0.00663825236619756,0.043294538188237,NA,0.0227757302294649,NA,0.0151602369361712,NA
"Zm00001eb003480",1.00782318289221e-12,0.794653206646817,5.59751640028137e-15,NA,NA,NA,0.000501320121382562,0.0216411429019851,0.00523454575740102,NA
"Zm00001eb003550",8.8904803791142e-06,0.533980367681579,6.29855190892198e-15,NA,NA,NA,0.000293174418886187,NA,NA,NA
"Zm00001eb003670",7.34301852267825e-05,0.548073100856215,3.67072992675655e-17,0.0291047224641252,NA,NA,0.0041532252164839,NA,NA,NA
"Zm00001eb003680",NA,0,0.0370987874295307,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb003700",1.22415786780843e-24,0.828643839754748,0.0006440122188619,NA,NA,NA,NA,NA,2.20279538108251e-06,0.000101032004351734
"Zm00001eb003710",NA,2.21227610552857e-15,0.0041967838022476,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb003740",0.00322658118541551,0.402022263252417,1.66741184735795e-20,NA,NA,NA,NA,0.0123001790879628,NA,0.00578971599053201
"Zm00001eb003760",2.33590627786785e-11,0.788202706794897,4.126686213119e-13,0.0362022072567732,NA,0.0186857508218141,0.000234322508491317,0.00851168795913013,NA,NA
"Zm00001eb003800",0,0.999999985295283,4.56437021905231e-07,2.22266981628351e-06,2.13582579338534e-06,8.32751527780974e-05,3.18009251191711e-05,0.000699354571369035,0.000186965060346389,0.00266598846938175
"Zm00001eb003810",4.76473466900926e-06,0.606950527224866,7.13278704374961e-21,NA,NA,NA,0.000166749144037345,NA,NA,0.0218333739328879
"Zm00001eb003820",6.45588878923487e-05,0.542679642770157,5.40866886477804e-13,NA,NA,NA,0.000639459736294911,NA,0.00182840018787787,NA
"Zm00001eb003880",6.20060224095288e-11,0.739037942673739,1.11180515154121e-17,NA,NA,NA,0.000399148128046104,NA,0.00239500231430425,NA
"Zm00001eb003890",3.30707952844557e-13,0.749596841949894,9.99615908589543e-13,NA,NA,NA,0.000542913816067111,NA,0.00481718169095689,NA
"Zm00001eb003930",5.84702359071352e-06,0.598361092577977,2.77188672862559e-10,NA,0.00256187404063749,NA,NA,NA,0.0431285040917234,NA
"Zm00001eb003950",1.48285634312828e-06,0.622610288699229,6.72750070630289e-06,NA,0.000242471284559757,NA,NA,NA,NA,NA
"Zm00001eb003960",2.50097321407634e-05,0.490633742119634,NA,NA,0.00125111953387412,NA,NA,NA,NA,NA
"Zm00001eb004050",0.000109575646487738,0.612637896459417,2.95876265703652e-19,0.00438247475828846,NA,0.00408946723116053,0.00355621436004186,NA,NA,0.0242725316765009
"Zm00001eb004060",0.0560310631871676,0.230746271396533,NA,NA,0.0401317144734906,NA,0.0320303343114717,NA,NA,NA
"Zm00001eb004120",0.000952988018296446,0.388935890832993,3.62452845923857e-18,NA,0.00275507111839485,NA,NA,NA,NA,NA
"Zm00001eb004170",1.43248493995011e-05,0.559282596084297,9.94355230008478e-12,NA,0.00101889310701805,NA,0.00379106431406656,NA,NA,NA
"Zm00001eb004200",0.000498931345244719,0.433637473217265,0.000555167683424664,NA,NA,NA,0.003516488307072,NA,NA,NA
"Zm00001eb004210",5.42678376396473e-06,0.588629213129252,1.07662796124243e-16,NA,NA,NA,0.00767702092529926,NA,0.027784132292318,NA
"Zm00001eb004250",0.00388626120359186,0.472239908562425,2.07878322214409e-15,NA,NA,0.00456438118243489,NA,0.0150326859106255,NA,0.0313662958029694
"Zm00001eb004300",2.14865961907242e-08,0.659614808265119,0.00302869404804463,NA,0.00154599429525515,NA,0.00392857016067967,NA,0.0111617375228862,NA
"Zm00001eb004320",2.03741133497703e-06,0.633341946342015,9.56185588110804e-14,NA,NA,NA,6.28657567829483e-05,0.0170608051553738,NA,NA
"Zm00001eb004410",6.28695819989723e-11,0.754559272110623,1.80194663867645e-21,NA,NA,NA,2.17672319991389e-06,0.0167602863626091,NA,NA
"Zm00001eb004430",1.28468685437394e-20,0.789152437565372,1.51984567360576e-12,NA,NA,NA,1.24876164769871e-07,0.000169723916175843,NA,NA
"Zm00001eb004530",0,0.999999957153171,9.67662008800693e-07,3.85858578793424e-06,3.70975795474221e-06,0.000135288753324868,5.28046253606443e-05,0.00106690132799766,0.000297335692403052,0.00385972246201111
"Zm00001eb004550",3.01823233054057e-07,0.697922045867846,1.78081040880008e-08,NA,0.0011959538028489,NA,0.00050819536578513,0.00740142242428876,NA,NA
"Zm00001eb004590",6.29384930006115e-13,0.776584643709122,1.05106431533503e-16,NA,NA,NA,1.60454291436568e-06,0.000486986104568283,NA,NA
"Zm00001eb004630",0.000517675536070145,0.476391679253086,9.99012043787136e-15,NA,NA,NA,0.00189335433707167,NA,NA,NA
"Zm00001eb004640",NA,0,0.0208100914160739,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb004670",1.06148385731762e-08,0.683920408037209,9.417914582386e-24,NA,NA,NA,8.28027685757798e-06,0.0222508876258569,NA,NA
"Zm00001eb004690",0.000122181514214904,0.560830678612244,0.0136585771219234,NA,NA,0.0344500480831514,0.000894944048828064,NA,NA,0.0279843875723407
"Zm00001eb004740",6.34987158733854e-10,0.672809017738885,NA,NA,0.0358733170964023,NA,0.00315788973095133,0.00395560818138525,NA,NA
"Zm00001eb004750",5.22379692193442e-06,0.568646472367405,1.81128978567845e-09,NA,NA,NA,0.0129714899930419,NA,0.0427075721510566,NA
"Zm00001eb004760",2.28047959507096e-22,0.871118313540455,6.07689673538934e-10,NA,NA,NA,3.70854727951359e-05,NA,NA,NA
"Zm00001eb004790",5.86909503527063e-05,0.483622147504021,9.08723301675244e-27,NA,NA,NA,0.000717836235098932,NA,NA,NA
"Zm00001eb004830",NA,2.21227610552857e-15,0.0041967838022476,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb004850",NA,3.6769276796128e-15,0.00867050573021788,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb004920",6.09371852710603e-07,0.597416496421973,1.63312753959458e-23,NA,NA,NA,8.07764564155924e-05,NA,NA,NA
"Zm00001eb005010",0.024180862361206,0.27031270403838,1.23021512824213e-12,NA,NA,NA,0.0299744710469372,NA,NA,NA
"Zm00001eb005030",9.51818751113941e-05,0.423599310344861,1.45091626149657e-24,NA,NA,NA,NA,0.00097412416024503,NA,NA
"Zm00001eb005040",NA,0,0.0370987874295307,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb005060",9.67591110184843e-05,0.440763501920191,1.45732537328519e-12,NA,0.000773781316994361,NA,NA,NA,NA,NA
"Zm00001eb005100",NA,0,4.46661527906776e-08,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb005190",1.25153858971249e-11,0.795086333865427,NA,NA,0.0269923559837137,NA,0.014000939806109,NA,0.0131080547333052,NA
"Zm00001eb005250",0.0165518281213863,0.304415463278685,NA,NA,NA,NA,NA,0.0367355372341244,NA,NA
"Zm00001eb005290",NA,0,0.0370987874295308,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb005330",1.58355943485539e-09,0.708588257961781,1.46842115474529e-27,NA,NA,NA,NA,0.00138988430484785,3.97896513870037e-06,NA
"Zm00001eb005360",3.49789138033719e-13,0.777426153320221,1.66628319664903e-08,NA,1.73908461738972e-05,NA,0.000154425476783972,NA,NA,NA
"Zm00001eb005370",2.56091508357479e-05,0.549833176543666,1.71668621328641e-12,NA,NA,NA,0.00346734987089397,NA,0.0100821106035746,NA
"Zm00001eb005380",2.46166294916684e-07,0.656190057081299,3.72553809446697e-20,NA,NA,NA,0.00268038980452763,NA,0.0108949091099079,NA
"Zm00001eb005430",0.00139373715127566,0.391390384484503,1.19388885342776e-20,NA,NA,NA,0.00451807213801319,NA,NA,NA
"Zm00001eb005530",9.89760819166528e-05,0.563371772020616,4.31089268760513e-18,NA,NA,NA,NA,NA,0.00139139834955954,0.0323806492794644
"Zm00001eb005540",1.7776205504817e-13,0.776748365810963,8.78749916517217e-06,NA,NA,NA,0.0018444721470608,NA,NA,NA
"Zm00001eb005560",NA,4.1365436395644e-15,0.00867050573021779,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb005600",1.55652657928507e-06,0.597406923658736,3.10029244648719e-10,NA,NA,NA,0.000575728185397689,NA,NA,NA
"Zm00001eb005700",2.77773299095335e-06,0.56675526755263,6.35194610975479e-16,NA,0.000121105749712516,NA,NA,NA,NA,NA
"Zm00001eb005800",4.66914412037323e-07,0.613723564421688,8.0431307820043e-22,NA,NA,NA,NA,0.00029833408753636,NA,0.000726347448289245
"Zm00001eb005830",7.67790672566854e-12,0.751728150670274,1.12416513918481e-23,NA,NA,NA,1.97763837535567e-06,0.0260332468673874,NA,NA
"Zm00001eb005900",1.09769868875977e-06,0.615445316956284,3.08093532982224e-11,NA,NA,NA,0.00612715831909238,NA,0.0247998094692499,NA
"Zm00001eb005920",3.62672551103385e-08,0.689085464062927,1.21963323564603e-16,NA,NA,NA,2.58500654788188e-05,0.0141607082936559,NA,NA
"Zm00001eb005930",9.06881938347378e-06,0.586988017739651,3.58652279203039e-16,NA,NA,NA,0.00024649894993793,0.0310288556289183,NA,NA
"Zm00001eb005970",1.69502998161999e-05,0.528722131257024,6.50880399793271e-17,NA,NA,NA,NA,0.000632442225217287,NA,0.000346338861798974
"Zm00001eb006050",1.99341680728837e-10,0.733343148338675,0.0213593740030533,NA,0.0134412476531695,NA,0.0245923606968116,0.0108325765004909,NA,NA
"Zm00001eb006110",NA,1.40781206715455e-15,0.00419678380224763,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006170",NA,3.6769276796128e-15,0.00867050573021788,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006180",1.91571690211308e-08,0.620760356290497,NA,NA,2.70070848847054e-05,NA,NA,NA,NA,NA
"Zm00001eb006190",NA,2.58169267978442e-16,0.0341181606384867,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006200",2.9662622191653e-11,0.677625517057439,0.0292921984286989,NA,NA,NA,0.000359966961702158,NA,NA,NA
"Zm00001eb006210",0.00015040881010658,0.44632980332841,3.55713060704285e-10,NA,0.000590512387474873,NA,NA,NA,NA,NA
"Zm00001eb006270",0.00340323508306821,0.347507793599442,1.42445463662043e-19,NA,0.0117846499505967,NA,NA,NA,NA,NA
"Zm00001eb006280",0.000534167496338,0.401789336367557,NA,NA,NA,0.0045497002084821,NA,0.0110208662843474,NA,NA
"Zm00001eb006290",0,0.999999957153171,9.67662008800693e-07,3.85858578793424e-06,3.70975795474221e-06,0.000135288753324868,5.28046253606443e-05,0.00106690132799766,0.000297335692403052,0.00385972246201111
"Zm00001eb006300",1.68326061841976e-09,0.760602200344128,1.3119197609228e-15,0.00721001359657462,0.0103994484067436,0.0108016853501052,NA,0.0112485304513457,NA,NA
"Zm00001eb006390",1.54963824227149e-10,0.751740623822388,1.13015818390257e-17,NA,NA,NA,0.00460234998629185,0.00537669147308433,0.0389790331495119,NA
"Zm00001eb006420",0.000514745733271121,0.492804006443401,0.000110650296794364,NA,NA,0.0316586366612891,NA,0.0182888036187836,NA,0.0145185604459522
"Zm00001eb006430",5.72985367225267e-05,0.501481917635644,3.37304654151256e-05,NA,NA,0.0149543998150797,NA,0.00892636114954408,NA,0.00804058196687894
"Zm00001eb006460",NA,1.20669605756104e-15,0.00419678380224765,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006620",2.32077485274916e-08,0.677449355919973,1.80150907592347e-13,NA,0.000804599294240068,NA,NA,NA,0.0286540060829391,NA
"Zm00001eb006630",NA,0,0.0108376844790703,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006710",1.71421202160786e-05,0.525308205213852,NA,NA,NA,NA,0.0209949643269579,NA,0.0249993062290598,NA
"Zm00001eb006720",3.3144476839061e-05,0.551352898882112,1.32751300910485e-06,NA,0.00985416554100749,NA,0.0452176792860646,NA,NA,NA
"Zm00001eb006740",NA,0,0.0370987874295307,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006770",1.14492820350942e-07,0.580271852582944,2.48211974408719e-05,NA,NA,NA,0.00658436622775199,NA,0.0345145708886768,NA
"Zm00001eb006780",NA,4.1365436395644e-15,0.00867050573021779,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb006830",7.29577743674939e-20,0.851293830999751,2.26505449731812e-22,NA,NA,NA,3.95919448681813e-08,0.00500219463147929,NA,NA
"Zm00001eb006860",6.62651338872215e-17,0.813187395878121,NA,0.0326571130538267,NA,NA,0.000731313920808267,NA,0.00255127595733334,NA
"Zm00001eb006880",4.83112509383718e-07,0.6803262520378,1.98112511801253e-15,NA,NA,NA,0.000113545190347461,NA,NA,0.0226438815757448
"Zm00001eb006930",8.85740296137053e-05,0.542938693358166,5.16978558518754e-13,NA,NA,0.0133088781109158,NA,NA,NA,0.00111013749969834
"Zm00001eb006940",0.000613340397430473,0.426267019359379,2.54794462976671e-12,NA,0.0015863218780051,NA,NA,NA,NA,NA
"Zm00001eb007080",0.000284109681579494,0.453776308908525,1.28395333508714e-19,NA,0.00217619472975589,NA,NA,NA,NA,NA
"Zm00001eb007100",1.82402093597742e-08,0.570171710642379,NA,NA,0.000107868072018709,0.0245831057317846,NA,NA,NA,NA
"Zm00001eb007120",0.000101758164782519,0.54276940531716,0.0353545156248374,NA,0.0056565559902983,0.0258361185381835,NA,NA,NA,NA
"Zm00001eb007170",7.50618981094952e-08,0.680953542932568,3.07161348439247e-12,0.00182235433646643,0.0324618453697008,NA,0.00759128983172957,NA,NA,NA
"Zm00001eb007180",2.24891376952606e-06,0.626514382659943,1.17035969177638e-16,0.0304125607347725,NA,NA,0.000427424481123015,NA,NA,NA
"Zm00001eb007200",7.03294207509907e-05,0.517143569377336,NA,0.0118001350778846,0.00120726392702716,NA,0.0028302299162405,NA,NA,NA
"Zm00001eb007310",1.76532177622197e-43,0.944300533320017,1.31790333393815e-10,0.0140307209767461,NA,0.0101833590368056,0.000977320397190872,0.00745236142225081,0.00502113177282075,0.00669948285389893
"Zm00001eb007470",3.03608519512275e-07,0.651452853706096,3.31464897770493e-12,NA,NA,NA,NA,0.0235788853995857,0.000208918577475737,0.00972318585515841
"Zm00001eb007490",7.75388700834603e-10,0.690413143597732,2.73583434667533e-21,NA,1.03278463417354e-05,NA,NA,NA,NA,NA
"Zm00001eb007500",1.94922457616447e-09,0.742905621841639,3.33789672542124e-13,NA,0.00144719492266699,NA,NA,NA,0.0475578605220543,NA
"Zm00001eb007510",9.53122322771126e-07,0.663328968667882,5.72779618012337e-13,0.0406534894883882,0.00111625573056554,NA,0.00304815254928109,NA,NA,NA
"Zm00001eb007600",0.00402945317573745,0.324152242037547,5.51528507492789e-22,NA,NA,NA,0.0088181164191628,NA,NA,NA
"Zm00001eb007640",0.0337905803307093,0.324244766824282,NA,0.01620315996752,0.0223614246300995,0.0108194054084329,NA,NA,NA,NA
"Zm00001eb007650",3.75347031097258e-09,0.765533862118586,2.54571723235646e-14,NA,NA,NA,0.000942606385976922,NA,0.00663142455625574,0.00935436452072217
"Zm00001eb007720",9.98015962394149e-05,0.560015574752363,2.81921564566537e-05,0.000751718434439548,NA,0.0165624356789324,0.0248157617850356,NA,NA,NA
"Zm00001eb007740",4.89235848586154e-06,0.517566067843721,NA,NA,NA,NA,0.0142553670815071,NA,0.0326754170312998,NA
"Zm00001eb007800",0.000906785985766168,0.520183587499496,1.29105093739501e-21,0.00093833619821841,NA,0.00508439015371456,NA,NA,NA,0.0232325546302409
"Zm00001eb007840",0,0.999999990821759,5.75434844858986e-17,0.00394638850222287,NA,0.00115051242606692,NA,0.000169054382636569,NA,1.43976162699347e-05
"Zm00001eb007900",4.53074695455638e-08,0.70590557789429,6.85938962579302e-09,NA,NA,NA,0.00107860144147095,NA,NA,NA
"Zm00001eb007940",0.00215865520373123,0.377298425246159,NA,NA,0.00495340849015282,NA,0.00411928962994121,NA,NA,NA
"Zm00001eb007950",9.19284294458599e-08,0.57750404320202,NA,NA,0.000223047392165248,NA,NA,NA,NA,NA
"Zm00001eb007990",0.00100391449649879,0.401057634344058,0.0330780227105992,NA,NA,NA,NA,0.00404483053902251,NA,NA
"Zm00001eb008010",4.24688991032465e-05,0.488014080771902,1.71832981150652e-11,NA,0.000634413721543649,NA,NA,NA,NA,NA
"Zm00001eb008070",3.63464857301653e-07,0.67494337542017,1.42730900946448e-14,NA,NA,0.0381530074356668,0.00685369002311806,NA,0.0332618635749162,NA
"Zm00001eb008080",2.98675201479184e-09,0.675487839355221,4.28623127264917e-22,NA,NA,NA,1.31122359174395e-05,NA,NA,NA
"Zm00001eb008100",0.0015864812432303,0.365785188914311,5.69348274748387e-27,NA,NA,NA,0.00473015364970861,NA,NA,NA
